,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
89,123937.0,44157.0,123937.0,0.0,0.0,0.0,0.9,1.0,351.4,862.97,76.0,4722.0,21.0,44157.0,23.6,17.0,26.2,93.7,24.4,35.9,633.88,74.0,4533.0,83.0
90,124069.0,204009.0,124069.0,0.9,0.2,1.1,3.0,3.0,287.9,873.52,77.0,4373.0,21.0,204009.0,25.0,15.4,27.2,37.0,16.9,71.7,875.1,61.0,4393.0,35.0
91,124157.0,42529.0,124157.0,0.7,0.3,1.2,3.6,3.6,273.0,869.53,74.0,4548.0,31.0,42529.0,36.0,22.3,46.1,72.3,22.7,40.3,876.1,53.0,4333.0,75.0
92,124181.0,7152.0,124181.0,0.0,0.0,0.0,0.9,1.0,351.4,878.71,76.0,4237.0,28.0,7152.0,15.7,10.9,17.3,30.2,15.3,84.4,877.25,58.0,4241.0,43.0
93,124541.0,86975.0,124541.0,0.3,0.0,0.3,1.6,1.7,328.0,852.58,76.0,5033.0,22.0,86975.0,32.2,19.9,37.3,55.8,20.4,50.7,857.56,53.0,4927.0,42.0
94,124713.0,13313.0,124713.0,42.0,26.1,43.7,73.5,22.8,39.7,879.54,79.0,4235.0,24.0,13313.0,31.3,21.1,33.7,55.1,20.3,51.2,878.86,84.0,4242.0,18.0
95,125123.0,46859.0,125123.0,2.0,1.2,2.0,6.0,5.4,227.5,864.89,76.0,4677.0,22.0,46859.0,22.8,14.9,25.3,44.7,18.4,62.6,867.99,71.0,4588.0,23.0
96,125631.0,91975.0,125631.0,2.6,1.3,3.2,7.2,6.2,209.0,872.29,82.0,4457.0,27.0,91975.0,29.4,18.2,35.9,56.1,20.4,50.5,871.85,52.0,4455.0,43.0
97,125671.0,129303.0,125671.0,1.3,0.7,1.3,5.3,4.9,237.9,870.38,80.0,4521.0,18.0,129303.0,31.6,20.9,36.8,,,,869.92,56.0,4513.0,39.0
98,125789.0,127577.0,125789.0,2.0,0.5,2.4,5.9,5.4,227.9,876.29,80.0,4339.0,30.0,127577.0,24.6,15.6,26.2,,,,876.29,60.0,4337.0,35.0
99,127215.0,42529.0,127215.0,0.0,0.0,0.0,2.8,2.9,291.0,877.52,83.0,4290.0,25.0,42529.0,36.0,22.3,46.1,72.3,22.7,40.3,876.1,53.0,4333.0,75.0
100,127331.0,5808.0,127331.0,0.4,0.2,0.4,3.1,3.2,283.8,865.2,78.0,4649.0,26.0,5808.0,0.0,0.0,0.0,,,,859.13,82.0,4823.0,22.0
