,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,latitiude,longitude
298,2021-04-11,13.3,26.6,280,40.667835,111.92634
299,2021-04-12,13.7,26.8,325,40.667835,111.92634
300,2021-04-13,12.7,25.5,239,40.667835,111.92634
301,2021-04-14,26.1,47.6,235,40.667835,111.92634
302,2021-04-15,24.4,44.1,298,40.667835,111.92634
303,2021-04-16,16.2,32.0,293,40.667835,111.92634
304,2021-04-17,12.1,23.5,230,40.667835,111.92634
305,2021-04-18,9.7,20.1,200,40.667835,111.92634
306,2021-04-19,5.8,12.3,195,40.667835,111.92634
307,2021-04-20,8.7,14.8,160,40.667835,111.92634
308,2021-04-10,16.3,35.3,204,41.23023,111.91977
309,2021-04-11,19.2,42.7,283,41.23023,111.91977
310,2021-04-12,17.3,40.0,329,41.23023,111.91977
311,2021-04-13,21.3,45.0,269,41.23023,111.91977
312,2021-04-14,25.7,60.2,227,41.23023,111.91977
313,2021-04-15,30.4,64.0,310,41.23023,111.91977
314,2021-04-16,19.2,43.8,314,41.23023,111.91977
315,2021-04-17,14.2,32.7,243,41.23023,111.91977
316,2021-04-18,13.8,30.2,223,41.23023,111.91977
317,2021-04-19,10.8,23.9,222,41.23023,111.91977
318,2021-04-20,11.4,25.7,175,41.23023,111.91977
319,2021-04-10,14.4,29.8,198,40.94903,111.92308
320,2021-04-11,18.0,35.6,324,40.94903,111.92308
321,2021-04-12,15.8,32.7,337,40.94903,111.92308
322,2021-04-13,14.2,29.1,271,40.94903,111.92308
323,2021-04-14,24.0,53.7,245,40.94903,111.92308
324,2021-04-15,25.6,55.5,316,40.94903,111.92308
325,2021-04-16,15.8,38.9,314,40.94903,111.92308
326,2021-04-17,9.2,20.8,199,40.94903,111.92308
327,2021-04-18,11.7,25.3,252,40.94903,111.92308
328,2021-04-19,6.6,17.4,329,40.94903,111.92308
329,2021-04-20,6.9,18.3,131,40.94903,111.92308
330,2021-04-21,11.6,24.6,200,40.667835,111.92634
331,2021-04-22,12.5,24.8,76,40.667835,111.92634
332,2021-04-23,14.1,26.6,100,40.667835,111.92634
333,2021-04-24,12.8,24.2,149,40.667835,111.92634
334,2021-04-25,19.3,36.2,228,40.667835,111.92634
335,2021-04-26,22.5,40.0,250,40.667835,111.92634
336,2021-04-27,16.8,33.1,264,40.667835,111.92634
337,2021-04-28,18.4,34.4,287,40.667835,111.92634
338,2021-04-29,18.2,34.2,317,40.667835,111.92634
339,2021-04-30,18.3,33.6,332,40.667835,111.92634
340,2021-05-01,10.8,24.2,51,40.667835,111.92634
341,2021-04-21,12.5,27.7,193,41.23023,111.91977
342,2021-04-22,14.9,33.1,71,41.23023,111.91977
343,2021-04-23,16.1,34.7,115,41.23023,111.91977
344,2021-04-24,16.8,35.6,162,41.23023,111.91977
345,2021-04-25,17.6,38.5,224,41.23023,111.91977
346,2021-04-26,21.1,44.5,278,41.23023,111.91977
347,2021-04-27,21.1,45.4,287,41.23023,111.91977
348,2021-04-28,25.3,55.0,303,41.23023,111.91977
349,2021-04-29,26.1,56.1,311,41.23023,111.91977
350,2021-04-30,24.1,51.5,325,41.23023,111.91977
351,2021-05-01,18.0,38.3,160,41.23023,111.91977
352,2021-04-21,10.0,20.4,195,40.94903,111.92308
353,2021-04-22,14.3,29.5,62,40.94903,111.92308
354,2021-04-23,13.4,29.5,75,40.94903,111.92308
355,2021-04-24,12.5,25.5,145,40.94903,111.92308
356,2021-04-25,17.4,35.6,224,40.94903,111.92308
357,2021-04-26,17.9,36.9,271,40.94903,111.92308
358,2021-04-27,15.4,32.7,290,40.94903,111.92308
359,2021-04-28,20.9,42.3,311,40.94903,111.92308
360,2021-04-29,20.7,42.5,331,40.94903,111.92308
361,2021-04-30,20.9,42.3,331,40.94903,111.92308
362,2021-05-01,10.9,23.3,38,40.94903,111.92308
363,2021-05-02,18.6,32.2,230,40.667835,111.92634
364,2021-05-03,21.8,43.2,299,40.667835,111.92634
365,2021-05-04,23.1,42.7,275,40.667835,111.92634
366,2021-05-05,20.9,38.9,251,40.667835,111.92634
367,2021-05-06,24.7,48.1,277,40.667835,111.92634
368,2021-05-07,20.1,37.1,275,40.667835,111.92634
369,2021-05-08,8.1,17.2,98,40.667835,111.92634
370,2021-05-09,18.7,33.3,45,40.667835,111.92634
371,2021-05-10,13.6,26.8,227,40.667835,111.92634
372,2021-05-11,16.1,31.3,12,40.667835,111.92634
373,2021-05-12,11.4,25.1,128,40.667835,111.92634
374,2021-05-02,21.3,45.2,224,41.23023,111.91977
375,2021-05-03,24.3,62.9,307,41.23023,111.91977
376,2021-05-04,27.7,58.8,290,41.23023,111.91977
377,2021-05-05,33.0,68.9,269,41.23023,111.91977
378,2021-05-06,35.7,75.4,304,41.23023,111.91977
379,2021-05-07,25.2,53.9,308,41.23023,111.91977
380,2021-05-08,13.3,29.5,327,41.23023,111.91977
381,2021-05-09,16.3,34.4,25,41.23023,111.91977
382,2021-05-10,18.1,39.8,213,41.23023,111.91977
383,2021-05-11,17.5,40.0,32,41.23023,111.91977
384,2021-05-12,14.7,38.5,154,41.23023,111.91977
385,2021-05-02,14.6,30.2,230,40.94903,111.92308
386,2021-05-03,22.2,49.7,307,40.94903,111.92308
387,2021-05-04,22.4,49.2,301,40.94903,111.92308
388,2021-05-05,25.3,52.3,279,40.94903,111.92308
389,2021-05-06,32.3,64.4,292,40.94903,111.92308
390,2021-05-07,16.7,36.0,310,40.94903,111.92308
391,2021-05-08,10.6,22.8,25,40.94903,111.92308
392,2021-05-09,21.3,43.4,32,40.94903,111.92308
393,2021-05-10,12.7,27.1,200,40.94903,111.92308
394,2021-05-11,15.2,32.4,32,40.94903,111.92308
395,2021-05-12,12.8,37.1,58,40.94903,111.92308
396,2021-05-13,18.3,32.2,184,40.667835,111.92634
397,2021-05-14,13.3,24.8,24,40.667835,111.92634
398,2021-05-15,10.4,20.6,103,40.667835,111.92634
399,2021-05-16,9.7,23.0,224,40.667835,111.92634
400,2021-05-17,11.5,23.9,236,40.667835,111.92634
401,2021-05-18,13.3,28.0,222,40.667835,111.92634
402,2021-05-19,13.9,25.7,224,40.667835,111.92634
403,2021-05-20,11.0,19.0,188,40.667835,111.92634
404,2021-05-21,12.3,27.3,219,40.667835,111.92634
405,2021-05-22,17.3,30.6,285,40.667835,111.92634
406,2021-05-23,18.4,34.0,294,40.667835,111.92634
407,2021-05-13,18.8,39.6,195,41.23023,111.91977
408,2021-05-14,18.7,38.3,22,41.23023,111.91977
409,2021-05-15,16.1,36.2,22,41.23023,111.91977
410,2021-05-16,14.2,32.9,295,41.23023,111.91977
411,2021-05-17,15.4,34.4,236,41.23023,111.91977
412,2021-05-18,13.1,33.6,220,41.23023,111.91977
413,2021-05-19,13.6,29.3,203,41.23023,111.91977
414,2021-05-20,15.1,33.3,211,41.23023,111.91977
415,2021-05-21,13.9,32.4,213,41.23023,111.91977
416,2021-05-22,21.0,43.8,303,41.23023,111.91977
417,2021-05-23,22.2,48.5,295,41.23023,111.91977
418,2021-05-13,12.2,26.8,181,40.94903,111.92308
419,2021-05-14,20.9,42.1,22,40.94903,111.92308
420,2021-05-15,13.0,29.1,27,40.94903,111.92308
421,2021-05-16,8.7,21.3,359,40.94903,111.92308
422,2021-05-17,12.7,26.6,225,40.94903,111.92308
423,2021-05-18,12.3,28.2,241,40.94903,111.92308
424,2021-05-19,13.2,27.7,220,40.94903,111.92308
425,2021-05-20,6.2,17.0,127,40.94903,111.92308
426,2021-05-21,12.6,29.1,198,40.94903,111.92308
427,2021-05-22,27.7,54.4,323,40.94903,111.92308
428,2021-05-23,17.4,36.7,314,40.94903,111.92308
429,2021-05-24,21.4,39.8,272,40.667835,111.92634
430,2021-05-25,21.3,39.4,317,40.667835,111.92634
431,2021-05-26,22.9,45.4,286,40.667835,111.92634
432,2021-05-27,23.3,45.0,308,40.667835,111.92634
433,2021-05-28,20.4,36.0,239,40.667835,111.92634
434,2021-05-29,10.2,18.6,57,40.667835,111.92634
435,2021-05-30,15.7,39.6,168,40.667835,111.92634
436,2021-05-31,19.2,35.6,320,40.667835,111.92634
437,2021-06-01,20.7,43.6,291,40.667835,111.92634
438,2021-06-02,15.0,32.0,303,40.667835,111.92634
439,2021-06-03,15.1,28.2,299,40.667835,111.92634
440,2021-05-24,24.4,54.4,285,41.23023,111.91977
441,2021-05-25,24.9,52.8,323,41.23023,111.91977
442,2021-05-26,28.2,66.9,295,41.23023,111.91977
443,2021-05-27,28.3,61.1,322,41.23023,111.91977
444,2021-05-28,22.8,47.4,296,41.23023,111.91977
445,2021-05-29,10.9,24.8,344,41.23023,111.91977
446,2021-05-30,14.6,34.9,244,41.23023,111.91977
447,2021-05-31,16.8,43.0,271,41.23023,111.91977
448,2021-06-01,22.8,61.7,299,41.23023,111.91977
449,2021-06-02,18.7,43.8,313,41.23023,111.91977
450,2021-06-03,19.5,41.8,312,41.23023,111.91977
451,2021-05-24,20.9,44.3,280,40.94903,111.92308
452,2021-05-25,18.7,39.8,330,40.94903,111.92308
453,2021-05-26,23.3,57.0,318,40.94903,111.92308
454,2021-05-27,23.0,51.5,314,40.94903,111.92308
455,2021-05-28,12.9,28.2,285,40.94903,111.92308
456,2021-05-29,13.6,27.7,12,40.94903,111.92308
457,2021-05-30,12.4,30.2,18,40.94903,111.92308
458,2021-05-31,15.6,35.3,348,40.94903,111.92308
459,2021-06-01,17.6,47.6,314,40.94903,111.92308
460,2021-06-02,17.2,36.7,312,40.94903,111.92308
461,2021-06-03,15.7,32.2,312,40.94903,111.92308
