,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
40,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-23,00:00,2023-01-23,07:00,11.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
41,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-25,00:00,2023-01-25,07:00,14.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
42,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-26,00:00,2023-01-26,07:00,18.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
43,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-27,00:00,2023-01-27,07:00,11.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
44,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-28,00:00,2023-01-28,07:00,2.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
45,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-29,00:00,2023-01-29,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
46,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-01,00:00,2023-02-01,07:00,45.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
47,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-04,00:00,2023-02-04,07:00,71.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
48,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-05,00:00,2023-02-05,07:00,37.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
49,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-06,00:00,2023-02-06,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
